title,Location,Job Family,Job Class,Posting Start,Posting End,Details,MINIMUM SALARY,DAILY RATE RANGE,Salary,HOURLY RATE RANGE,SALARY RANGE
TRANSPORTATION RADIO DISPATCHER TIME CARD,TRANSPORTATION,CLASSIFIED,TIMECARD,7/3/23,5/24/24,JOB DESCRIPTION,,,,,
ASSISTANT SOFTBALL COACH / EXTRA / FULTON HIGH SCHOOL,FULTON HIGH,CLASSIFIED,ATH COACH SOFTBALL ASSISTANT,9/27/22,11/29/23,,,,,,
EDUC ASSIST CDC MS 23/24SY,VINE MIDDLE,CLASSIFIED,EDUCATIONAL ASSISTANT SPED MS,7/3/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
STRENGTH AND CONDITIONING COACH / HARDIN VALLEY ACADEMY,HARDIN VALLEY ACADEMY,CLASSIFIED,ATHLETIC COACH,7/31/21,11/29/23,,,,,,
ASSISTANT FOOTBALL COACH / SOUTH DOYLE HIGH SCHOOL,SOUTH DOYLE HIGH,CLASSIFIED,ATH COACH FOOTBALL ASSISTANT,7/21/22,11/29/23,,,,,,
ASSISTANT WRESTLING COACH / FULTON HIGH SCHOOL,FULTON HIGH,CLASSIFIED,ATH COACH WRESTLING ASSISTANT,7/12/22,11/29/23,,,,,,
ASSISTANT GIRLS BASKETBALL COACH / EXTRA / HOLSTON MIDDLE SCHOOL,HOLSTON MIDDLE,CLASSIFIED,ATH COACH BASKETBALL B-TEAM,7/13/22,11/29/23,,,,,,
EDUC ASSIST SATL SP 23/24SY,RIDGEDALE ALTERNATIVE,CLASSIFIED,EDUCATIONAL ASSISTANT ALT SPD,7/3/23,9/30/23,JOB DESCRIPTION,"$26,439.00 ",,,,
EDUC ASSIST 504 ELEVATE PROGRAM 23/24SY,SYSTEMWIDE,CLASSIFIED,EDUCATIONAL ASSISTANT SPED MS,7/3/23,9/30/23,JOB DESCRIPTION,"$22,308.00 ",,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",AL LOTTS ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",ADRIAN BURNETT ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",BALL CAMP ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",BEAUMONT MAGNET,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",BELLE MORRIS ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",BLUE GRASS ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",BONNY KATE ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",CARTER ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",CEDAR BLUFF ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",CHILHOWEE INTERMEDIATE,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",CHRISTENBERRY ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",CORRYTON ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",DOGWOOD ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",EAST KNOX ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",FARRAGUT INTERMEDIATE,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",FOUNTAIN CITY ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",GAP CREEK ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",GIBBS ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",GREEN MAGNET ACADEMY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",HARDIN VALLEY ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",INSKIP ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",KARNS ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",LONSDALE ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",MAYNARD ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",MOORELAND HEIGHTS ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",MOUNT OLIVE ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",NEW HOPEWELL ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",NORWOOD ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",PLEASANT RIDGE ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",POWELL ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",RITTA ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",SARAH MOORE GREENE MAGNET,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",SHANNONDALE ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",SOUTH KNOX ELEMENTARY,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",SPRING HILL,CLASSIFIED,TUTOR LITERACY,6/26/23,4/30/24,JOB DESCRIPTION,,$125.00-$125.00,,,
