,title,Location,Job Family,Job Class,Posting Start,Posting End,Details,MINIMUM SALARY,DAILY RATE RANGE,Salary,HOURLY RATE RANGE,SALARY RANGE
0,TRANSPORTATION RADIO DISPATCHER TIME CARD,TRANSPORTATION,CLASSIFIED,TIMECARD,07/03/2023,05/24/2024,JOB DESCRIPTION,,,,,
1,ASSISTANT SOFTBALL COACH / EXTRA / FULTON HIGH SCHOOL,FULTON HIGH,CLASSIFIED,ATH COACH SOFTBALL ASSISTANT,09/27/2022,11/29/2023,,,,,,
2,STRENGTH AND CONDITIONING COACH / HARDIN VALLEY ACADEMY,HARDIN VALLEY ACADEMY,CLASSIFIED,ATHLETIC COACH,07/31/2021,11/29/2023,,,,,,
3,TRANSPORTATION BUS ASSISTANT (TIME CARD),TRANSPORTATION,CLASSIFIED,,07/18/2022,10/31/2023,Job Description,,,,,
4,ASSISTANT FOOTBALL COACH / SOUTH DOYLE HIGH SCHOOL,SOUTH DOYLE HIGH,CLASSIFIED,ATH COACH FOOTBALL ASSISTANT,07/21/2022,11/29/2023,,,,,,
5,ASSISTANT WRESTLING COACH / FULTON HIGH SCHOOL,FULTON HIGH,CLASSIFIED,ATH COACH WRESTLING ASSISTANT,07/12/2022,11/29/2023,,,,,,
6,EDUC ASSIST SATL SP 23/24SY,RIDGEDALE ALTERNATIVE,CLASSIFIED,EDUCATIONAL ASSISTANT ALT SPD,07/03/2023,09/30/2023,JOB DESCRIPTION,"$26,439.00",,,,
7,EDUC ASSIST 504 ELEVATE PROGRAM 23/24SY,SYSTEMWIDE,CLASSIFIED,EDUCATIONAL ASSISTANT SPED MS,07/03/2023,09/30/2023,JOB DESCRIPTION,"$22,308.00",,,,
8,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",AL LOTTS ELEMENTARY,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
9,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",ADRIAN BURNETT ELEMENTARY,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
10,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",BALL CAMP ELEMENTARY,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
11,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",BELLE MORRIS ELEMENTARY,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
12,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",BLUE GRASS ELEMENTARY,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
13,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",BONNY KATE ELEMENTARY,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
14,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",CARTER ELEMENTARY,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
15,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",CEDAR BLUFF ELEMENTARY,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
16,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",CHILHOWEE INTERMEDIATE,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
17,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",CHRISTENBERRY ELEMENTARY,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
18,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",CORRYTON ELEMENTARY,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
19,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",DOGWOOD ELEMENTARY,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
20,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",EAST KNOX ELEMENTARY,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
21,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",FARRAGUT INTERMEDIATE,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
22,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",FOUNTAIN CITY ELEMENTARY,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
23,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",GAP CREEK ELEMENTARY,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
24,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",GIBBS ELEMENTARY,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
25,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",GREEN MAGNET ACADEMY,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
26,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",HARDIN VALLEY ELEMENTARY,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
27,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",INSKIP ELEMENTARY,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
28,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",KARNS ELEMENTARY,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
29,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",LONSDALE ELEMENTARY,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
30,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",MAYNARD ELEMENTARY,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
31,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",MOORELAND HEIGHTS ELEMENTARY,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
32,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",MOUNT OLIVE ELEMENTARY,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
33,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",NEW HOPEWELL ELEMENTARY,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
34,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",NORWOOD ELEMENTARY,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
35,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",PLEASANT RIDGE ELEMENTARY,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
36,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",POWELL ELEMENTARY,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
37,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",RITTA ELEMENTARY,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
38,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",SARAH MOORE GREENE MAGNET,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
39,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",SHANNONDALE ELEMENTARY,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
40,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",SOUTH KNOX ELEMENTARY,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
41,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",SPRING HILL,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
42,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",STERCHI ELEMENTARY,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
43,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",SUNNYVIEW,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
44,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",WEST HAVEN ELEMENTARY,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
45,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",WEST HILLS ELEMENTARY,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
46,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",WEST VIEW ELEMENTARY,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
47,"TUTOR LITERACY ES - FULL TIME, PART TIME AVAILABLE",NORTHSHORE ELEMENTARY,CLASSIFIED,TUTOR LITERACY,06/26/2023,04/30/2024,JOB DESCRIPTION,,$125.00-$125.00,,,
48,TCHR SPECIAL ED HS 23/24SY,HALLS HIGH,CERTIFIED,TEACHER HS SPECIAL ED,07/03/2023,09/30/2023,JOB DESCRIPTION,"$44,800.00",,,,
49,FOOD SERVICE MANAGER TRAINEE,CHILD NUTRITION,CLASSIFIED,FOOD SERVICE MANAGER,07/01/2023,12/31/9999,,"$30,387.84",,,,
50,FOOD SERVICE SITE MANAGER TRAINEE,CHILD NUTRITION,CLASSIFIED,FOOD SERVICE MANAGER,07/03/2023,05/24/2024,,"$30,387.84",,,,
51,TCHR SPECIAL ED MS 23/24SY,SOUTH DOYLE MIDDLE,CERTIFIED,TEACHER MS SPECIAL ED,07/03/2023,09/30/2023,JOB DESCRIPTION,"$44,800.00",,,,
52,TENNIS COACH / EXTRA / FARRAGUT HIGH SCHOOL,FARRAGUT HIGH,CLASSIFIED,ATH COACH TENNIS HEAD,06/29/2023,11/29/2023,,,,,,
53,TCHR SPED MS 23/24SY,GRESHAM MIDDLE,CERTIFIED,TEACHER MS SPECIAL ED,07/03/2023,09/30/2023,JOB DESCRIPTION,"$44,800.00",,,,
